,mag
68801,4.6
69482,4.5
69485,4.5
69526,4.4
69576,4.7
69738,4.6
69783,4.4
69854,4.5
69899,4.6
69913,4.2
69917,4.4
69942,4.9
69979,4.2
70068,4.5
70073,5.8
70101,4.4
70167,4.2
70233,4.2
70435,4.6
70475,4.5
70496,5.4
70594,4.6
70636,4.5
70737,4.1
70780,4.5
70785,4.8
70863,4.3
70868,4.5
70887,4.6
70975,4.3
71025,4.7
71070,4.2
71077,4.5
71099,4.5
71172,4.5
71266,4.5
71445,4.5
71450,4.7
71458,4.7
71546,4.0
71658,4.6
71661,4.6
71668,4.5
71925,4.1
72217,4.1
72394,4.6
72401,4.4
72769,5.2
72778,4.6
72835,4.4
72996,4.6
73083,4.6
73209,5.1
73314,4.2
73836,4.4
73859,4.8
74055,4.3
74081,4.2
74153,4.9
74267,4.5
74381,4.7
74398,4.5
74473,4.6
74597,4.4
74699,4.1
74720,5.3
74780,4.4
74864,4.4
74962,4.5
74988,4.2
75078,4.2
75081,4.7
75193,4.3
75199,4.4
75250,4.6
75434,4.2
75479,4.7
75520,4.5
75600,4.7
75602,4.5
75623,4.7
75625,4.5
75760,4.2
75831,5.1
76037,6.1
76083,4.6
76229,4.4
76283,4.4
76311,5.0
76419,4.2
76501,4.5
76522,4.1
76605,4.7
76740,4.5
76758,4.4
76854,4.2
76876,4.6
76925,4.6
76977,4.2
77186,4.4
77201,4.4
77240,4.3
77313,4.1
77524,4.7
77594,4.4
77678,4.7
77774,4.4
77811,4.8
77835,4.5
77873,4.4
77890,4.5
78014,4.2
78022,5.7
78057,4.5
78101,4.1
78143,4.9
78145,4.5
78154,4.7
78167,4.8
78323,4.1
78510,4.3
78528,4.1
78565,4.4
78595,4.6
78871,4.2
78988,4.5
79138,4.6
79179,4.4
79233,4.4
79254,4.2
79365,4.9
79714,4.5
79823,4.2
80164,4.5
80688,4.3
81107,4.5
82024,4.3
82124,4.6
82184,4.5
82203,4.5
82314,5.1
82320,5.2
82487,4.0
82683,4.1
82734,4.8
83045,4.7
83182,4.9
83183,5.5
83268,4.2
83512,4.5
83532,4.0
83877,4.4
83948,4.6
84030,4.5
84067,4.5
84071,4.5
84073,4.5
84157,4.0
84200,4.5
84202,5.4
84642,4.4
84793,5.5
84916,4.0
84959,4.3
85126,4.5
85417,4.8
85560,4.3
85616,4.3
85618,4.3
85702,4.0
85819,4.5
86244,4.9
86372,4.5
86471,4.5
86513,4.4
86662,4.8
86784,4.3
86801,4.4
86872,4.3
86987,4.6
87218,4.3
87743,4.2
87766,4.2
87784,4.8
87879,4.5
87945,4.8
88102,4.6
88260,4.3
88305,5.1
88474,4.4
88678,4.4
88733,4.2
88787,4.8
88801,4.2
88813,4.6
88815,4.7
88983,4.8
89031,5.2
89473,4.7
89689,4.0
90048,4.6
90110,4.6
90170,4.5
90271,4.7
90277,4.4
90383,4.0
90938,4.3
90977,4.3
91043,4.6
91118,4.5
91402,4.0
91473,4.6
91533,4.7
91558,4.6
91562,4.4
91563,4.6
92103,4.4
92116,4.2
92207,4.1
92211,4.1
92347,4.4
92364,4.2
92421,4.5
92539,4.1
92694,4.5
92952,4.4
92970,4.2
93065,4.0
93330,4.2
93332,5.8
93380,4.7
93721,4.0
94077,4.8
94178,4.4
94383,4.4
94564,4.4
94628,4.2
94715,4.5
94717,4.2
94726,4.5
94733,4.3
94739,5.0
94742,4.3
94838,4.6
95223,4.2
95298,4.2
95346,5.5
95391,4.1
95452,4.2
95469,4.3
95606,4.7
95670,5.3
95766,5.0
95788,4.8
96001,4.7
96015,4.1
96086,4.6
96610,4.4
96643,4.0
96662,4.1
96748,4.5
96880,4.7
96882,4.5
96945,5.4
96979,6.1
97057,4.7
97193,4.4
97230,4.6
97270,4.0
97426,4.3
97465,4.4
97477,4.6
98006,4.2
98016,4.8
98083,4.4
98258,4.1
98359,4.5
98441,4.0
98520,4.6
98522,4.5
98747,4.6
98793,4.6
98829,4.6
98978,4.7
99035,4.5
99620,5.5
99649,4.5
99928,4.6
99996,4.1
100075,4.6
100150,4.4
100228,4.4
100305,4.2
100657,4.6
100939,4.2
100975,4.7
100990,4.5
101131,4.3
101289,4.4
101674,4.4
101690,4.4
102031,4.3
102095,4.4
102169,4.1
102287,4.5
102556,4.5
102573,4.5
103102,4.2
103129,5.0
103227,4.2
103242,4.3
103389,4.5
103424,4.3
103431,4.6
103434,4.6
103439,6.2
103548,4.3
103572,4.3
103617,4.5
103949,4.1
103967,4.5
103972,4.4
103982,4.4
103984,4.2
104095,4.1
104139,4.4
104199,4.2
104318,5.6
104473,4.5
104475,5.1
104633,4.3
104694,4.2
104741,4.5
104806,5.0
104816,4.4
104820,4.3
104823,4.5
104827,4.8
104828,4.5
105102,4.3
105105,4.7
105144,4.5
105154,4.5
105447,4.2
105699,4.2
105946,4.4
106073,4.2
106083,4.5
106292,4.2
106305,4.5
106484,4.2
106692,4.1
106750,4.5
106777,4.3
106971,4.5
107011,4.3
107245,5.1
107352,4.5
107376,4.2
107385,4.6
107394,4.8
107431,4.6
107704,4.6
107812,4.5
108248,4.5
108305,4.4
108352,4.4
108401,4.1
108770,4.5
108900,4.1
108973,5.1
109003,4.6
109111,4.2
109459,4.1
109466,4.2
109870,4.8
109955,4.5
110112,4.4
110155,4.0
110220,4.8
110266,4.3
110570,4.6
110705,4.6
110709,4.7
110711,4.6
110729,4.9
110842,4.3
110903,4.5
110939,4.6
110941,4.8
110943,4.2
111150,4.5
111172,4.3
111179,4.7
111198,4.7
111378,4.5
111386,4.4
111391,4.6
111400,4.4
111441,4.8
111445,5.2
111512,4.5
111608,4.4
111609,4.7
111655,4.5
111701,4.4
111717,4.7
111995,4.3
112034,4.2
112223,5.1
112252,4.7
112296,4.5
112442,4.7
112511,4.6
112708,4.5
112797,4.4
112915,4.8
113033,4.4
113146,5.2
113583,4.5
113970,4.4
114009,4.3
114161,4.6
114171,4.3
114335,4.1
114510,4.9
114519,4.8
114522,5.9
114573,4.4
114693,4.7
114831,4.4
114856,4.6
114881,4.4
114901,5.3
114920,4.3
115038,4.4
115042,4.5
115053,4.6
115062,4.5
115194,4.4
115280,4.7
115592,4.3
115648,5.1
115650,4.2
115875,4.6
116013,4.7
116274,4.6
116375,4.6
116388,4.9
116499,4.4
116768,4.0
116809,4.6
116824,4.3
116864,4.5
116870,4.5
117011,4.2
117050,4.5
117307,4.2
117376,4.3
117380,4.4
117433,4.6
117565,4.6
117754,4.4
117944,4.6
118542,4.3
118701,5.0
118780,4.6
118838,4.4
118887,4.3
119160,4.4
119184,4.7
119340,4.5
119345,4.0
119508,4.4
119515,4.1
119574,4.7
119618,4.4
119726,4.2
