,mag,effectif,Pays_Cotier
827.0,1.2,,
828.0,1.6,,
829.0,5.1,,
830.0,0.8,,
831.0,0.7,,
832.0,3.4,,
833.0,1.8,,
834.0,1.9,,
835.0,1.53,,
836.0,1.3,,
837.0,1.2,,
838.0,1.02,,
839.0,0.77,,
841.0,1.11,,
842.0,1.1,,
843.0,0.96,,
845.0,0.7,,
846.0,1.0,,
847.0,1.7,,
848.0,2.0,,
849.0,0.7,,
851.0,1.2,,
852.0,1.0,,
853.0,0.3,,
855.0,1.1,,
856.0,1.4,,
857.0,0.95,,
858.0,4.3,,
859.0,1.41,,
860.0,0.98,,
863.0,1.1,,
864.0,0.72,,
865.0,2.9,,
866.0,1.5,,
868.0,1.4,,
870.0,1.9,,
871.0,1.8,,
872.0,0.3,,
873.0,1.0,,
874.0,1.9,,
875.0,0.9,,
876.0,0.83,,
877.0,5.6,,
878.0,1.9,,
879.0,1.7,,
880.0,0.6,,
881.0,1.1,,
882.0,4.3,,
883.0,1.1,,
884.0,0.7,,
885.0,2.1,,
887.0,1.2,,
888.0,2.84,,
889.0,1.11,,
890.0,1.36,,
892.0,2.2,,
893.0,4.1,,
894.0,1.89,,
899.0,0.8,,
900.0,1.5,,
901.0,0.4,,
903.0,1.8,,
904.0,4.5,,
905.0,2.1,,
908.0,0.96,,
910.0,0.5,,
912.0,2.7,,
914.0,4.8,,
915.0,0.9,,
916.0,2.5,,
918.0,1.1,,
920.0,4.4,,
921.0,0.4,,
922.0,1.2,,
923.0,1.3,,
925.0,2.7,,
926.0,1.32,,
928.0,1.4,,
929.0,1.4,,
931.0,1.62,,
932.0,0.94,,
933.0,1.1,,
935.0,3.1,,
936.0,1.0,,
938.0,0.6,,
942.0,1.2,,
943.0,2.7,,
944.0,4.2,,
945.0,1.4,,
946.0,0.3,,
947.0,0.43,,
948.0,1.3,,
950.0,1.4,,
951.0,4.2,,
952.0,0.2,,
953.0,0.76,,
954.0,0.7,,
955.0,0.8,,
956.0,3.8,,
959.0,1.0,,
961.0,1.7,,
962.0,0.9,,
963.0,1.2,,
966.0,4.3,,
967.0,1.75,,
968.0,1.3,,
972.0,1.3,,
975.0,0.8,,
976.0,0.8,,
977.0,0.6,,
978.0,1.5,,
979.0,0.9,,
981.0,0.74,,
982.0,1.5,,
986.0,1.0,,
987.0,4.3,,
991.0,0.3,,
993.0,1.8,,
1002.0,1.65,,
1004.0,1.4,,
1006.0,0.9,,
1007.0,1.4,,
1008.0,2.5,,
1009.0,3.3,,
1011.0,0.95,,
1012.0,1.1,,
1013.0,0.97,,
1014.0,1.5,,
1016.0,5.6,,
1017.0,0.7,,
1018.0,2.2,,
1019.0,0.4,,
1020.0,1.77,,
1021.0,2.03,,
1022.0,3.7,,
1024.0,1.4,,
1025.0,1.2,,
1026.0,1.71,,
1027.0,1.5,,
1028.0,1.4,,
1029.0,1.1,,
1031.0,4.1,,
1033.0,4.3,,
1034.0,4.3,,
1035.0,1.1,,
1036.0,4.9,,
1037.0,1.1,,
1038.0,1.8,,
1039.0,1.0,,
1040.0,4.1,,
1042.0,0.9,,
1044.0,1.24,,
1045.0,1.0,,
1047.0,4.7,,
1048.0,2.9,,
1049.0,0.9,,
1050.0,1.6,,
1052.0,1.9,,
1053.0,4.4,,
1054.0,4.5,,
1055.0,1.0,,
1057.0,3.0,,
1060.0,0.9,,
1061.0,1.3,,
1062.0,2.5,,
1064.0,1.0,,
1065.0,1.2,,
1068.0,1.23,,
1069.0,2.9,,
1071.0,0.4,,
1074.0,2.1,,
1075.0,1.8,,
1077.0,4.3,,
1078.0,1.0,,
1080.0,0.8,,
1082.0,4.4,,
1083.0,1.4,,
1085.0,4.9,,
1088.0,4.0,,
1089.0,1.27,,
1090.0,1.1,,
1091.0,4.6,,
1092.0,1.89,,
1093.0,4.2,,
1094.0,4.6,,
1095.0,1.32,,
1096.0,1.3,,
1097.0,2.2,,
1098.0,0.0,,
1100.0,1.1,,
1102.0,1.28,,
1103.0,1.9,,
1104.0,2.3,,
1106.0,2.34,,
1108.0,1.6,,
1110.0,1.2,,
1112.0,3.4,,
1114.0,4.4,,
1115.0,0.8,,
1117.0,1.4,,
1118.0,0.58,,
1119.0,0.9,,
1120.0,1.2,,
1122.0,4.5,,
1123.0,4.5,,
1124.0,1.19,,
1125.0,1.3,,
1126.0,2.5,,
