,mag
2264,1.07
2267,1.5
2268,1.33
2273,1.01
2275,1.9
2278,0.8
2280,2.26
2281,0.9
2283,1.3
2284,0.01
2285,0.75
2293,0.6
2295,0.9
2296,0.54
2297,1.4
2302,0.5
2303,1.6
2310,1.17
2311,1.37
2312,0.9
2315,0.6
2317,0.72
2319,1.0
2321,1.62
2326,1.31
2327,0.96
2329,1.06
2330,0.71
2331,1.8
2335,0.98
2337,1.77
2339,2.02
2344,0.5
2348,0.8
2350,2.08
2351,0.4
2353,1.6
2357,0.06
2359,0.86
2362,0.56
2363,0.6
2365,0.5
2369,0.06
2371,1.0
2372,0.7
2374,1.4
2375,1.8
2376,1.0
2378,0.28
2380,1.7
2382,0.8
2387,0.8
2392,0.9
2393,1.0
2396,0.7
2397,0.5
2403,0.6
2404,0.95
2406,1.67
2407,0.4
2408,1.19
2410,1.8
2411,1.0
2413,1.49
2414,0.9
2415,0.81
2418,0.7
2419,0.2
2424,0.9
2436,1.2
2439,0.6
2441,0.5
2447,0.66
2448,1.3
2451,0.44
2453,0.44
2454,0.4
2455,0.5
2457,0.8
2460,2.7
2462,0.9
2463,0.27
2466,0.66
2467,0.57
2472,0.9
2474,0.4
2482,1.2
2484,1.01
2486,1.4
2489,0.3
2492,0.7
2503,1.4
2504,0.8
2507,0.56
2508,0.81
2510,0.2
2512,0.33
2519,0.08
2527,0.4
2528,0.1
2530,0.4
2534,0.79
2536,0.9
2537,0.6
2551,0.4
2556,1.1
2558,0.64
2559,1.0
2561,1.27
2566,1.7
2567,0.7
2568,1.17
2572,1.0
2573,1.49
2578,1.1
2579,0.8
2583,0.3
2584,0.19
2588,1.01
2597,1.37
2600,0.7
2601,1.37
2602,1.7
2611,1.13
2612,1.39
2618,0.82
2619,1.55
2622,1.68
2623,1.26
2625,1.09
2626,1.0
2627,0.7
2628,1.92
2629,0.8
2631,1.1
2632,2.26
2635,0.7
2637,0.5
2641,1.61
2643,2.04
2644,1.64
2645,1.56
2646,0.5
2650,1.1
2651,1.5
2654,1.5
2656,1.1
2659,1.1
2662,1.0
2663,0.51
2668,0.32
2677,0.5
2679,0.04
2681,1.0
2683,1.19
2688,0.49
2690,0.5
2696,1.29
2699,0.9
2701,0.72
2704,0.33
2707,0.3
2712,0.8
2713,1.0
2716,3.0
2717,0.4
2719,4.6
2720,1.5
2721,0.1
2722,0.8
2723,0.29
2724,0.6
2725,0.9
2727,0.5
2729,1.45
2732,0.85
2734,0.77
2735,0.71
2736,0.9
2737,0.78
2740,1.08
2741,1.54
2743,0.3
2747,0.6
2748,0.3
2750,1.36
2756,0.9
2757,0.7
2762,0.6
2763,0.7
2767,0.7
2774,1.7
2776,0.41
2780,1.6
2784,0.9
2785,0.9
2790,0.9
2792,0.43
2795,0.74
2797,0.78
2799,1.46
2800,1.1
2802,0.42
2803,2.1
2804,1.3
2805,1.46
2809,0.76
2814,0.4
2815,0.4
2816,1.1
2820,1.6
2826,1.25
2830,0.95
2831,0.6
2843,0.6
2844,1.0
2845,1.08
2849,1.18
2853,0.6
2856,0.3
2859,0.7
2862,0.5
2868,0.2
2869,1.6
2870,2.0
2871,0.6
2875,1.04
2878,0.4
2884,2.7
2886,1.0
2889,1.24
2893,0.5
2894,0.7
2896,0.3
2897,0.9
2907,1.14
2915,0.9
2917,0.4
2919,0.81
2922,0.68
2924,1.56
2929,1.54
2934,0.8
2938,0.4
2944,0.78
2946,1.15
2949,0.9
2951,0.7
2952,1.02
2953,0.5
2956,0.89
2963,0.9
2967,0.3
2969,1.07
2991,1.1
3001,0.7
3002,1.0
3003,2.1
3004,1.6
3005,0.7
3024,1.08
3027,0.4
3029,0.58
3031,0.45
3034,0.8
3035,0.6
3037,0.55
3042,1.9
3043,0.72
3048,1.34
3049,1.41
3057,1.0
3060,1.5
3061,0.24
3071,0.4
3073,1.1
3074,1.1
3078,0.7
3080,0.3
3082,1.0
3083,0.7
3088,0.8
3092,1.0
3093,1.0
3094,1.0
3095,0.7
3096,2.0
3097,0.2
3098,0.4
3100,0.74
3101,0.8
3106,0.3
3108,0.3
3111,0.04
3120,0.9
3122,1.0
3125,0.5
3129,0.91
3131,1.35
3133,0.8
3137,0.8
3150,0.2
3151,1.62
3152,0.5
3153,1.8
3155,0.8
3156,1.3
3162,0.5
3165,0.9
3167,0.7
3169,1.2
3170,0.3
3171,0.49
3172,1.3
3173,0.46
3174,1.1
3175,0.6
3178,1.44
3181,1.1
3183,0.64
3184,1.0
3185,1.8
3187,1.2
3188,1.0
3189,0.8
3190,0.4
3191,1.1
3192,0.9
3194,0.9
3195,1.0
3196,0.2
3197,0.7
3198,1.0
3199,0.6
3200,1.8
3202,1.2
3204,1.1
3205,1.8
3206,0.8
3207,1.8
3208,3.7
3209,0.4
3212,0.34
3216,0.62
3225,1.2
3226,0.31
3231,0.96
3232,1.4
3233,1.45
3234,0.72
3240,2.13
3242,0.9
3243,1.1
3244,1.1
3253,1.38
3255,1.79
3256,1.0
3267,1.2
3271,1.1
3273,1.7
3274,1.9
3275,0.9
3276,1.48
3277,0.7
3281,0.6
3286,1.4
3291,1.08
3292,0.2
3293,0.9
3295,2.05
3296,0.03
3297,0.87
3298,0.97
3300,2.2
3302,0.9
3305,0.46
3309,0.3
3310,1.2
3315,0.4
3316,1.1
3317,1.52
3319,0.9
3321,0.5
3327,2.7
3328,0.8
3331,1.0
3334,1.3
3338,0.8
3339,1.0
3340,0.38
3342,0.76
3344,0.4
3345,0.5
3350,0.1
3351,0.9
3352,1.3
3358,0.4
3359,0.56
3364,1.0
3365,1.14
3367,1.0
3368,0.64
3369,1.31
3372,1.6
3373,1.1
3374,0.6
3378,0.9
3379,0.98
3380,2.16
3381,0.82
3383,1.2
3385,0.47
3386,0.77
3387,0.85
3390,2.49
3391,0.8
3394,2.1
3396,0.9
3399,1.8
3402,0.6
3408,1.49
3410,0.3
3412,1.5
3414,1.0
3417,1.1
3421,0.25
3422,1.24
3426,0.9
3432,0.2
3433,0.3
3443,0.4
3444,1.9
3447,0.3
3449,1.7
3450,0.7
3451,1.3
3452,0.78
3456,1.0
3458,0.52
3465,1.0
3468,1.0
3470,0.3
3472,1.09
3473,1.9
3478,0.5
3484,0.8
3485,0.87
3487,0.9
3488,1.6
3490,1.8
3492,1.6
3495,1.86
3496,0.6
3497,0.62
3498,1.58
3502,1.9
3504,0.9
3506,1.35
3512,0.5
3513,3.1
3514,0.93
3516,1.5
3518,0.5
3519,1.5
3522,0.47
3523,0.7
3526,1.23
3535,1.0
3538,0.9
3539,1.8
3543,0.58
3547,0.4
3551,0.34
3556,1.08
3561,0.92
3564,2.04
3570,1.9
3571,1.2
3581,0.9
3583,0.7
3585,0.7
3587,0.75
3595,1.5
3596,0.4
3598,0.43
3599,0.2
3600,0.4
3607,0.4
3611,1.47
3612,1.16
3619,0.79
3621,0.9
3622,1.3
3624,0.3
3629,0.6
3633,1.29
3636,0.31
3638,0.5
3641,0.9
3647,0.9
3649,0.4
3651,3.1
3652,1.0
3654,1.0
3655,1.3
3656,1.2
3657,1.4
3660,2.4
3662,0.87
3663,0.51
3664,0.5
3667,0.79
3669,0.2
3671,0.8
3672,0.8
3673,1.23
3674,0.33
3677,0.85
3679,0.82
3681,0.81
3685,2.0
3686,0.7
3688,2.0
3689,0.1
